// --------------------------------------------------
// [00,000]    [0~85]     [Index]        [Index]      
// ItemIndex   StatType   OptionIndex1   OptionIndex2
// --------------------------------------------------
   09,035      0          58             0      
   10,035      0          58             0      
   11,035      0          58             0      
   07,036      0          59             81     
   08,036      0          59             81     
   09,036      0          59             81     
   10,036      0          59             81     
   11,036      0          59             81     
   07,038      0          60             0      
   08,038      0          60             0      
   09,038      0          60             0      
   10,038      0          60             0      
   11,038      0          60             0      
   07,075      0          61             0      
   08,075      0          61             0      
   09,075      0          61             0      
   10,075      0          61             0      
   11,075      0          61             0      
   07,076      0          62             0      
   08,076      0          62             0      
   09,076      0          62             0      
   11,076      0          62             0      
   08,037      0          63             78     
   09,037      0          63             78     
   10,037      0          63             78     
   11,037      0          63             78     


   07,077      0          64             0      
   08,077      0          64             0      
   09,077      0          64             0      
   10,077      0          64             0      
   11,077      0          64             0      
   
   07,078      0          65             0      
   08,078      0          65             0      
   09,078      0          65             0      
   10,078      0          65             0      
   11,078      0          65             0      
   
   07,079      0          66             82     
   08,079      0          66             82     
   09,079      0          66             82     
   10,079      0          66             82     
   11,079      0          66             82     
   
   07,080      0          67             0      
   08,080      0          67             0      
   09,080      0          67             0      
   10,080      0          67             0      
   11,080      0          67             0      
   
   07,081      0          68             0      
   08,081      0          68             0      
   09,081      0          68             0      
   10,081      0          68             0      
   11,081      0          68             0      
   
   07,082      0          69             0      
   08,082      0          69             0      
   09,082      0          69             0      
   11,082      0          69             0      
   
   08,089      0          70             79     
   09,089      0          70             79     
   10,089      0          70             79     
   11,089      0          70             79     


   07,083      0          71             0      
   08,083      0          71             0      
   09,083      0          71             0      
   10,083      0          71             0      
   11,083      0          71             0      
   
   07,084      0          72             0      
   08,084      0          72             0      
   09,084      0          72             0      
   10,084      0          72             0      
   11,084      0          72             0      
   
   07,085      0          73             83     
   08,085      0          73             83     
   09,085      0          73             83     
   10,085      0          73             83     
   11,085      0          73             83     
   
   07,086      0          74             0      
   08,086      0          74             0      
   09,086      0          74             0      
   10,086      0          74             0      
   11,086      0          74             0      
   
   07,087      0          75             0      
   08,087      0          75             0      
   09,087      0          75             0      
   10,087      0          75             0      
   11,087      0          75             0      
   
   07,088      0          76             0      
   08,088      0          76             0      
   09,088      0          76             0      
   11,088      0          76             0      
   
   08,090      0          77             80     
   09,090      0          77             80     
   10,090      0          77             80     
   11,090      0          77             80     

end
