//Index		Name									Index1	Index2	Index3	Index4	Index5	Text
102			"Master Seal of Wealth"					0		1		-1		-1		-1		"Master Experience Rate: +%d%%/Item Drop Rate: +%d%%"
103			"Gladiator's Honor"						0		-1		-1		-1		-1		"Experience Rate: +%d%%/(Only in Vulcanus map)"
112			"Platinum Party"						0		0		1		-1		-1		"Experience Rate: +%d%%/Master Experience Rate: +%d%%/Party Bonus Experience Rate: +%d%%"
122			"Hawk Figure"							0		-1		-1		-1		-1		"Critical Damage: +%d%%"
123			"Goat Figure"							0		-1		-1		-1		-1		"Excellent Damage: +%d%%"
124			"Oak Charm"								0		-1		-1		-1		-1		"Max Life: +%d"
125			"Maple Charm"							0		-1		-1		-1		-1		"Max Mana: +%d"
126			"Golden Oak Charm"						0		1		-1		-1		-1		"Max Life: +%d/Max SD: +%d"
127			"Golden Maple Charm"					0		1		-1		-1		-1		"Max Mana: +%d/Max BP: +%d"
128			"Worn Horseshoe"						0		-1		-1		-1		-1		"Item Drop Rate: +%d%%"
129			"Ignore Enemy's Defense"				0		-1		-1		-1		-1		"Ignore Defense Rate: +%d%%"
130			"Increases Health"						0		-1		-1		-1		-1		"Add Vitality: +%d"
131			"Increase Defense Rate"					0		-1		-1		-1		-1		"Defense Success Rate: +%d"
134			"Iron Defense"							0		1		-1		-1		-1		"Max Life: +%d/Defense: +%d"
135			"Swell Life Enhanced"					0		1		-1		-1		-1		"Max Life: +%d%%/Max Mana: +%d%%"
136			"Swell Life Mastered"					0		1		2		-1		-1		"Max Life: +%d%%/Max Mana: +%d%%/Max BP: +%d%%"
138			"Expansion of Wizardry Improved"		0		1		-1		-1		-1		"Min Magic Damage: +%d/Max Magic Damage: +%d"
139      	"Expansion of Wizardry Enhanced"    	0    	1    	2    	-1    	-1    	"Min Magic Damage: +%d/Max Magic Damage: +%d/Critical Damage Rate: +%d%%"
140			"Soul Barrier Mastered"					0		1		-1		-1		-1		"Absorb damage: +%d/Max Mana: +%d%%"
141			"Frozen Stab"							-1		-1		-1		-1		-1		"Mobility disabled."
142			"Bless"									-1		-1		-1		-1		-1		"Bless"
143			"Infinity Arrow Improved"				0		-1		-1		-1		-1		"Physical Damage: +%d%%"
144			"Blind Improved"						0		-1		-1		-1		-1		"Attack Success Rate: -%d%%"
145			"Vampiric"								0		-1		-1		-1		-1		"Absorb %d HP per second"
146      	"Ice Harden"              				-1    	-1    	-1    	-1    	-1    	"Detrimental cold reduces /the mobility speed."
148			"Critical Damage Mastered"				0		1		-1		-1		-1		"Critical Damage: +%d/Critical Damage Rate: +%d%%"
149			"Critical Damage Extended"				0		1		2		-1		-1		"Critical Damage: +%d/Critical Damage Rate: +%d%%/Excellent Critical Damage: +%d%%"
150			"Berserker Improved"					0    	1    	2    	3    	-1      "Damage: +%d%%/Mana: +%d%%/Defense: -%d%%/HP: -%d%%"
151			"Berserker Enhanced"					0    	1    	2    	3    	-1      "Damage: +%d%%/Mana: +%d%%/Defense: -%d%%/HP: -%d%%"
152			"Berserker Mastered"					0    	1    	2    	3    	-1      "Damage: +%d%%/Mana: +%d%%/Defense: -%d%%/HP: -%d%%"
153			"Increase Defense Rate Improved"		0		-1		-1		-1		-1		"Defense Success Rate: +%d"
154			"Increase Defense Rate Mastered"		0		1		-1		-1		-1		"Defense Success Rate: +%d/Defense: +%d"
155			"Increases Health Improved"				0		-1		-1		-1		-1		"Add Vitality: +%d"
162			"Weakness"								0		0		0		-1		-1		"Physical Damage: -%d%%/Magic Damage: -%d%%/Curse Damage: -%d%%"
163			"Innovation"							0		-1		-1		-1		-1		"Defense: -%d%%"
165			"Iron Defense"							0		1		-1		-1		-1		"Max Life: +%d/Defense: +%d"
200			"Experience VIP"						0		1		-1		-1		-1		"Increase Experience Rate +15%/Increase Master Experience Rate +10%/Blood Castle Entry +1/Devil Square Entry +1"
201			"Drop VIP"								0		1		-1		-1		-1		"Increase Drop Rate +15%/Increase Money Drop Rate +30%/Increase Money Drop Chance +10%/Increase Jewel Drop Rate +10%"
202			"Craft VIP"								0		1		-1		-1		-1		"Increase Jewel Success Rate +10%/Increase All Mix Rate +10%/Increase Maximum Warehouse +5"
203			"All Inclusive VIP"						0		1		-1		-1		-1		"Increase Experience Rate +15%/Increase Master Experience Rate +10%/Blood Castle Entry +1/Devil Square Entry +1/Increase Drop Rate +15%/Increase Money Drop Rate +30%/Increase Money Drop Chance +15%/Increase Jewel Drop Rate +10%/Increase Jewel Success Rate +10%/Increase All Mix Rate +10%/Increase Maximum Warehouse +3"
205         "Gear Score"              				0       1       1        2      3       "Gear Score: %d/Defense Increase: +%.2f%%/Damage Increase: +%.2f%%/Excellent Damage: +%d/Maximum Life: +%d"

210			"Experience VIP"						-1		-1		-1		-1		-1		"Increases Experience Rate +15%/Increases Master Experience Rate +30%/Blood Castle Entry +1/Devil Square Entry +1/Illusion Temple +1/Double Goer +1/Chaos Catle +1/Off Attack Time: 10 Hours"
211			"Drop VIP"								-1		-1		-1		-1		-1		"Increases Drop Rate +10%/Increases Money Drop Rate +25%/Increases Jewel Drop Rate +10%"
212			"Craft VIP"								-1		-1		-1		-1		-1		"Increases Jewel Success Rate +10%/Increases All Mix Rate +10%/Increases Maximum Warehouse +3"
213			"All Inclusive VIP"						-1		-1		-1		-1		-1		"Increases Experience Rate +15%/Increases Master Experience Rate +30%/Blood Castle Entry +1/Devil Square Entry +1/Illusion Temple +1/Double Goer +1/Chaos Catle +1/Off Attack Time: 10 Hours/Increases Drop Rate +10%/Increases Money Drop Rate +25%/Increases Jewel Drop Rate +10%/Increases Jewel Success Rate +10%/Increases All Mix Rate +10%/Increases Maximum Warehouse +3"
221			"Switch Debuff"							0		1		0		0		0		"Defense: -%d%%/PvP Defense Rate: -%d%%"
222			"Defending Guild Debuff"				0		1		0		0		0		"Defense: -%d%%/Damage: -%d%%"
223			"Attack Guild Buff"						0		1		0		0		0		"Defense: +%d%%/Damage: +%d%%"
224			"Castle Siege Watch"					-1		-1		-1		-1		-1		"You may enter and watch a Castle Siege."
225			"Besiegement Guild4"					-1		-1		-1		-1		-1		"In the process of attacking the castle"
226			"Guild Oracle Farm"						0		1		2		-1		-1		"Increases experience rate +10%/Increases jewel drop rate +5%/Increases excellent drop rate +5%"
227			"Guild Oracle Attack"					0		1		2		-1		-1		"Increases damage +5%/Increases critical damage rate +5%/Increases excellent damage rate +5%"
228			"Guild Oracle Defense"					0		1		2		-1		-1		"Increases damage reduction +5%/Increases defense +5%/Increases defense rate +5%"
229			"Compension for server restart"			0		1		-1		-1		-1		"Normal experience +%d%%/Master experience +%d%%"
230			"Non PVP Buff"			                0		0		0		-1		-1		"Disabling PvP mode/To reactivate PvP mode, simply remove the buff by right-clicking on it./Decrease Zen Drop -%d%%"
231			"Helloween Transformation Potion"		-1		-1		-1		-1		-1		"Helloween Transformation Potion"
232			"Collections Info"						-1		-1		-1		-1		-1		"Collections Info"
end
